date,hour,rdn,rds,demand,supply1,supply2,supply3,supply4,wind,reserve,cro,se
16/06/2019,1,180,135.53,15075,22230,5218,10802,4273,1456,1352,261.89,232.77
16/06/2019,2,151,120.5,14225,22230,5113,10057,4168,1349,1275,261.89,220.95
16/06/2019,3,150,123,13825,22230,5010,9760,4065,1246,1239,261.89,210.73
16/06/2019,4,140.6,120.03,13550,22230,4936,9559,3991,1172,1214,253.79,186.35
16/06/2019,5,117.88,117.21,12950,22230,4879,9016,3934,1132,1160,261.89,150.04
16/06/2019,6,113.16,116.49,12725,22230,4814,8856,3869,1068,1140,261.89,191.35
16/06/2019,7,120,118.33,13200,21687,4738,9407,3793,970,1183,253.79,212.33
16/06/2019,8,170.6,122.22,14100,21687,4672,10374,3726,901,1264,251.89,269.51
16/06/2019,9,189.13,186.04,15050,21687,4714,11295,3755,890,1349,261.89,294.64
16/06/2019,10,200,194.69,15750,21687,4738,11973,3777,910,1412,261.89,298.58
16/06/2019,11,211.12,210.06,16175,21687,4789,12350,3825,951,1450,270.5,292.19
16/06/2019,12,218.24,223.94,16375,21687,4842,12497,3878,1006,1468,266.9,297.94
16/06/2019,13,220,237.91,16425,21687,4906,12483,3942,1076,1473,269.91,289.32
16/06/2019,14,211.12,237.95,16350,21687,4982,12332,4018,1156,1466,266.9,254.71
16/06/2019,15,193,195,15975,21687,5036,11903,4072,1212,1432,266.9,245.98
16/06/2019,16,189.12,237.93,15700,21687,5044,11618,4082,1250,1408,270.53,262.48
16/06/2019,17,189.12,237.88,15600,21687,5057,11505,4095,1269,1399,267.42,267.91
16/06/2019,18,189.12,237.95,15625,21687,5044,11543,4082,1257,1401,266.9,275.9
16/06/2019,19,190,237.94,15950,21687,5039,11880,4070,1224,1430,261.89,298.37
16/06/2019,20,211.12,231.04,16325,21687,5024,12271,4054,1197,1464,267.42,305.61
16/06/2019,21,229.72,237.9,16550,21687,5054,12452,4098,1198,1484,270.53,297.3
16/06/2019,22,235.61,236.04,17100,21687,5081,12975,4125,1229,1534,259.92,291.55
16/06/2019,23,226.25,210.06,16625,22230,5054,12526,4099,1263,1491,261.89,273.24
16/06/2019,24,189.15,184.48,15500,22230,5010,11445,4055,1236,1390,269.91,212.65
17/06/2019,1,202,212.9,14775,22582,4789,10869,3906,1198,1329,233.5,194.55
17/06/2019,2,189.35,195.42,14325,22582,4691,10517,3808,1100,1289,202.32,181.34
17/06/2019,3,189.35,190.77,14175,22582,4604,10454,3721,1018,1275,202.2,183.58
17/06/2019,4,189.8,192.23,14150,22582,4535,10498,3652,949,1273,202.08,167.5
17/06/2019,5,189.8,193.8,13975,22582,4456,10402,3573,870,1257,217,125.01
17/06/2019,6,202,191.29,14738,22582,4352,11269,3469,761,1326,217,273.45
17/06/2019,7,260,251.07,17775,22582,4233,14385,3390,643,1599,260.09,332.98
17/06/2019,8,265,251.14,20375,22579,4139,17063,3312,547,1833,258.38,354.8
17/06/2019,9,330.63,323.61,21563,22182,4124,18224,3339,513,1940,316.7,371.2
17/06/2019,10,346.37,337.9,22050,22182,4130,18701,3349,519,1984,316.7,369.29
17/06/2019,11,345,325.87,22200,22267,4218,18762,3438,537,1997,316.7,357.04
17/06/2019,12,345,332.38,22650,22304,4235,19196,3454,552,2038,318.15,347.35
17/06/2019,13,373.98,336.04,22925,22304,4256,19451,3474,573,2063,318.15,350.33
17/06/2019,14,373.98,375.84,22825,22300,4273,19334,3491,595,2054,320,345.22
17/06/2019,15,336.34,329.12,22525,22244,4281,19027,3498,607,2027,316.71,347.56
17/06/2019,16,350,347.11,22450,22244,4298,18949,3501,611,2020,316.7,337.13
17/06/2019,17,333,332.4,22175,22247,4283,18689,3486,602,1995,285.69,327.33
17/06/2019,18,325,325.13,21900,22185,4250,18447,3453,573,1970,285.69,332.98
17/06/2019,19,300,313.94,21700,22185,4227,18270,3430,545,1952,260.09,335
17/06/2019,20,320.06,321.28,21700,22307,4236,18262,3438,541,1952,285.68,334.57
17/06/2019,21,308.47,320.56,21700,22307,4298,18204,3496,594,1952,259.93,316.9
17/06/2019,22,285,288.31,21450,22307,4388,17902,3548,686,1930,259.93,300.07
17/06/2019,23,276.33,283.79,20200,22582,4434,16624,3576,767,1817,271.66,247.47
17/06/2019,24,241.21,257.29,18700,22582,4415,15168,3532,780,1682,260.09,210.2
18/06/2019,1,240.07,242.82,17025,22457,4432,13447,3578,612,1532,235.66,189.26
18/06/2019,2,231,245.51,16325,22457,4421,12758,3567,602,1469,250.89,189.04
18/06/2019,3,226.6,237.64,16025,22457,4409,12470,3555,590,1442,235.78,172.64
18/06/2019,4,222.62,233.92,15875,22457,4388,12341,3534,570,1428,250.89,150.06
18/06/2019,5,219.22,225.2,15600,22457,4346,12108,3492,528,1404,233,107.57
18/06/2019,6,230,230.58,16075,22457,4256,12660,3415,438,1446,232.1,234.95
18/06/2019,7,272.15,270.07,18625,22457,4134,15327,3298,311,1676,274.85,334.42
18/06/2019,8,285,280.91,21025,22454,4031,17822,3203,194,1892,285.58,537.85
18/06/2019,9,363.02,344.07,21950,22119,4033,18754,3196,153,1975,316.56,517.18
18/06/2019,10,402,393.74,22225,22158,4038,19021,3204,156,2000,320.38,454.67
18/06/2019,11,396.8,373.88,22325,22179,4062,19098,3227,170,2009,316.57,414.94
18/06/2019,12,417,373.27,22675,22179,4074,19436,3239,185,2040,322.24,404.4
18/06/2019,13,420.29,428.67,22800,22175,4081,19554,3246,198,2051,340,385.86
18/06/2019,14,417,428.07,22700,22175,4086,19449,3251,207,2042,595,357
18/06/2019,15,400,358.98,22350,22119,4095,19090,3260,215,2011,556.29,349.87
18/06/2019,16,384,374.92,22225,22080,4071,18987,3238,225,2000,525.07,331.87
18/06/2019,17,346,331.31,21900,22067,4086,18647,3253,239,1970,455.89,313.55
18/06/2019,18,330,311.89,21575,22060,4134,18274,3301,281,1941,322.24,323.77
18/06/2019,19,305.6,312.26,21300,22060,4235,17905,3395,355,1916,322.24,335.49
18/06/2019,20,320.63,315.66,21300,22182,4339,17804,3496,456,1916,340,334.64
18/06/2019,21,286.76,293.03,21300,22182,4555,17579,3721,649,1916,340,312.91
18/06/2019,22,256.03,260.46,21025,22182,4804,17059,3966,903,1892,321.37,296.93
18/06/2019,23,262,273.02,19900,22457,4994,15752,4148,1145,1790,302.86,264.34
18/06/2019,24,241.21,245.51,18425,22457,5084,14192,4233,1240,1658,273.89,218.55
19/06/2019,1,237.95,241.22,17175,22582,5118,12908,4267,1333,1545,273.89,43.62
19/06/2019,2,235,240.6,16475,22582,5115,12211,4264,1330,1482,250.89,149.79
19/06/2019,3,226.6,237.1,16150,22582,5114,11887,4263,1329,1453,224.31,187.13
19/06/2019,4,226.53,228.19,16025,22582,5106,11770,4255,1321,1442,216.5,178.3
19/06/2019,5,224.34,226.47,15700,22582,5063,11488,4212,1278,1413,202.01,149.04
19/06/2019,6,225,225.41,16150,22582,4888,12100,4050,1103,1453,216.5,265.11
19/06/2019,7,260,270.56,18625,22582,4638,14825,3800,838,1676,282.1,458.2
19/06/2019,8,265,280.6,20975,22582,4396,17405,3570,590,1887,321.37,579.05
19/06/2019,9,320,316.11,21975,22582,4324,18490,3485,466,1977,355.01,623.84
19/06/2019,10,334.67,326.73,22325,22582,4294,18872,3453,433,2009,389.11,524.26
19/06/2019,11,330.15,340.88,22425,22582,4299,18970,3455,429,2018,322.24,457.24
19/06/2019,12,343.2,350.75,22825,22582,4302,19367,3458,435,2054,426.05,434.15
19/06/2019,13,348.21,346.68,22900,22582,4300,19444,3456,439,2060,483.86,393.73
19/06/2019,14,347.45,343.68,22875,22582,4290,19429,3446,433,2058,483.1,392.88
19/06/2019,15,325.59,324.79,22475,22582,4259,19060,3415,401,2022,475.32,386.07
19/06/2019,16,325.43,326.11,22350,22582,4183,19009,3341,359,2011,475.43,383.94
19/06/2019,17,318.61,319.69,22075,22582,4152,18765,3310,327,1986,463.36,371.39
19/06/2019,18,317.98,313.11,21750,22582,4170,18422,3328,339,1957,341,456.49
19/06/2019,19,330,316.91,21475,22582,4257,18067,3408,399,1932,285.63,531.28
19/06/2019,20,330,312.75,21450,22582,4361,17940,3510,495,1930,285.63,565.64
19/06/2019,21,323.73,316.56,21400,22582,4508,17729,3671,610,1925,258.08,530.32
19/06/2019,22,312.23,310.66,21150,22582,4641,17346,3804,747,1903,236.03,473.94
19/06/2019,23,282.41,280.97,20075,22582,4710,16213,3862,892,1806,247.19,416.17
19/06/2019,24,243,242.33,18450,22582,4762,14536,3914,949,1660,217,307.02
20/06/2019,1,219.71,205.44,16450,20744,4923,12471,3979,984,1480,217,309.4
20/06/2019,2,218.87,187.68,15400,20744,4863,11481,3919,925,1386,194,303.85
20/06/2019,3,210.39,161.03,14925,20744,4806,11063,3862,869,1343,221.5,292.2
20/06/2019,4,200,172.26,14625,20744,4749,10820,3805,812,1316,221.5,267.94
20/06/2019,5,200,187.13,13875,20744,4674,10145,3730,737,1248,221.5,199.86
20/06/2019,6,187.35,195.19,13250,20744,4539,9642,3608,602,1192,221.5,246.35
20/06/2019,7,187.35,185.06,13425,20744,4375,9981,3444,430,1208,236,328.21
20/06/2019,8,215,199.55,14475,20744,4235,11171,3304,275,1302,250.91,376.52
20/06/2019,9,235,220.74,15450,20744,4209,12185,3265,207,1390,257.66,424.08
20/06/2019,10,245,243.67,16150,20744,4203,12893,3257,198,1453,273.86,394.48
20/06/2019,11,244.23,249.2,16500,20744,4209,13240,3260,204,1484,273.86,381.44
20/06/2019,12,245,249.59,16700,20744,4231,13418,3282,229,1502,273.89,395.22
20/06/2019,13,247,251.69,16800,20744,4265,13484,3316,269,1511,274.82,376.31
