,index,date,hour,rdn,rds,demand,supply1,supply2,supply3,supply4,wind,reserve,cro,se,weekdays,month,lag_rdn_24,lag_rdn_25,lag_rdn_26,lag_rdn_48,lag_rdn_72,lag_rdn_96,lag_rdn_168,lag_cro_72,lag_se_24,lag_se_48,lag_se_72,ma_rdn_24,ma_rdn_48,ma_rdn_72,ma_rdn_96,ma_rdn_168,med_rdn_24,med_rdn_48,med_rdn_72,med_rdn_96,med_rdn_168,sd_rdn_24,sd_rdn_48,sd_rdn_72,sd_rdn_96,sd_rdn_168,ma_cro_24,ma_cro_48,ma_cro_72,ma_cro_96,ma_cro_168,med_cro_24,med_cro_48,med_cro_72,med_cro_96,med_cro_168,sd_cro_24,sd_cro_48,sd_cro_72,sd_cro_96,sd_cro_168,day
360,360,01/07/2019,1,193.95,194.79,15050,22346,6351,9645,5405,2623,1352,201.17,218.49,0,7,157.59,201.12,229.0,220.54,220.0,230.1,220.0,203.36,253.73,265.31,274.72,233.591666667,247.454375,242.41875,253.4315625,248.387321429,236.79,239.655,238.215,239.31,238.215,31.0691335246,38.5756485257,33.6408870919,46.2422897204,50.0165367561,165.984166667,161.149583333,188.786805556,197.557395833,244.947083333,194.28,187.455,202.87,218.0,243.905,70.302002935,75.5007655015,79.4496463412,76.7606202663,98.3011968809,0
361,361,01/07/2019,2,188.0,190.75,14525,22346,6187,9284,5241,2500,1305,201.05,209.1,0,7,150.0,157.59,201.12,203.85,215.0,223.44,219.4,203.24,250.46,263.83,275.14,231.347916667,246.100208333,241.39875,252.544895833,248.446845238,236.79,239.655,238.215,239.31,238.215,35.005507887,40.8150574264,35.2970259266,47.3986998266,49.892571287,171.400833333,163.774583333,188.791944444,197.653645833,244.952559524,194.56,193.455,203.055,218.0,243.905,67.8094828508,74.7075458024,79.4505820477,76.7619056992,98.2988335772,0
362,362,01/07/2019,3,180.0,188.6,14350,22346,5908,9388,4962,2226,1289,201.05,209.31,0,7,150.0,150.0,157.59,203.85,205.0,215.0,216.65,203.24,221.97,249.18,273.88,229.104166667,244.954375,240.495972222,251.7115625,248.530178571,236.79,239.655,238.215,239.31,238.215,38.4053837843,42.7209752113,36.7817391412,48.4899346545,49.7150075231,176.801666667,166.399583333,188.800416667,197.4634375,244.95875,194.56,194.28,203.24,218.0,243.905,64.7770364348,73.8105327189,79.4521109628,76.7248090917,98.2961577772,0
363,363,01/07/2019,4,179.93,188.53,14275,22346,5577,9644,4631,1894,1283,207.2,216.91,0,7,144.99,150.0,150.0,203.85,205.0,205.6,202.0,203.12,180.72,234.52,274.93,226.651666667,243.704166667,239.654166667,250.826041667,248.623690476,236.79,239.655,238.215,239.31,238.215,41.8160862189,44.7452220596,38.2556779823,49.6528823879,49.503685456,182.213333333,169.024583333,188.805555556,197.271979167,244.964940476,194.56,194.56,203.24,212.0,243.905,61.0681198169,72.8014711962,79.4530378768,76.6871204944,98.2934739094,0
364,364,01/07/2019,5,176.93,186.63,14075,22346,5282,9739,4336,1600,1265,207.44,222.5,0,7,138.79,144.99,150.0,203.85,205.0,195.75,190.96,198.56,157.41,253.73,267.65,223.940833333,242.324791667,238.863055556,249.9440625,248.69077381,236.79,239.655,238.215,239.31,238.215,45.3205233207,46.9309092898,39.7366723742,50.8809059953,49.3459778557,187.476666667,169.6275,188.749027778,197.033020833,244.855178571,196.56,194.56,203.24,206.0,243.905,56.4463832297,72.9262357863,79.4445111544,76.6465608817,98.3351755643,0
365,365,01/07/2019,6,193.92,208.12,14800,22346,5039,10694,4106,1352,1330,225.1,253.94,0,7,138.22,138.79,144.99,203.85,200.0,205.0,211.65,203.48,107.19,250.46,310.17,221.20625,241.037708333,237.935555556,248.9671875,248.754464286,236.79,239.655,238.215,239.31,238.215,48.4569711243,48.9213187762,41.2873138068,52.1143471447,49.1953223978,192.945,169.325,188.759166667,196.8453125,244.774702381,200.84,194.56,203.3,206.0,243.905,50.8798325982,72.7512208569,79.4463697174,76.6080661543,98.3636365489,0
366,366,01/07/2019,7,264.12,281.25,17500,23055,4839,13561,3939,1137,1570,287.46,292.24,0,7,140.13,138.22,138.79,220.54,262.0,249.48,268.7,272.55,133.77,221.97,508.72,217.855833333,238.49875,236.416805556,247.666458333,248.857738095,236.79,239.31,238.12,239.31,238.215,51.2068705408,50.9314120197,42.8387377619,53.2557930821,48.9468692974,201.29125,170.086458333,188.740972222,197.226041667,244.848869048,203.18,194.56,203.3,206.0,243.905,46.4556081056,73.6496594867,79.4267533982,76.8949930268,98.3799496053,0
367,367,01/07/2019,8,250.0,235.16,19975,23055,4720,16146,3829,990,1793,241.07,313.02,0,7,182.5,140.13,138.22,232.11,250.0,220.0,275.0,320.22,158.57,180.72,638.17,215.78875,237.0925,235.895972222,246.699791667,249.155119048,236.79,239.31,238.12,238.81,238.215,51.6062046583,51.5353771695,43.2669666032,53.5901012262,48.3844763048,211.582083333,175.211041667,189.218055556,197.948020833,245.216964286,203.24,194.56,203.3,206.0,243.905,44.154932757,75.3761901353,80.1185344497,77.7252449353,98.5464288203,0
368,368,01/07/2019,9,270.0,242.32,21225,23055,4735,17335,3890,993,1906,287.46,337.28,0,7,198.92,182.5,140.13,262.91,315.11,238.12,315.41,571.32,225.24,157.41,634.9,213.1225,234.671875,235.351527778,245.364583333,249.23797619,232.615,239.31,238.12,238.215,238.215,50.7110902243,50.5114747299,43.4846730861,53.1609243299,48.285772623,227.280416667,182.51125,193.182638889,201.2153125,246.732559524,203.3,194.56,203.3,206.0,243.905,85.4780036022,94.4513426377,91.2569623968,86.3732169252,101.564145578,0
369,369,01/07/2019,10,279.0,256.27,21775,23055,4856,17760,4015,1111,1955,292.22,337.6,0,7,223.82,198.92,182.5,280.0,317.61,238.12,316.53,515.89,234.53,107.19,519.9,210.781666667,232.717916667,235.152916667,243.841875,249.262559524,227.545,238.81,238.12,238.12,238.215,48.7484518966,49.0271300473,43.5045025819,51.6247146711,48.2716883091,240.6925,187.83125,196.377361111,203.736458333,247.918214286,203.42,194.56,203.3,206.0,243.905,103.402955817,105.486268979,98.3018060527,91.8731569866,103.529484674,0
370,370,01/07/2019,11,279.0,256.45,22025,23032,5024,17836,4189,1281,1978,292.22,328.63,0,7,231.99,223.82,198.92,279.24,315.93,239.97,303.0,320.19,244.02,133.77,464.09,208.812916667,230.969166667,235.042083333,242.23625,249.333928571,227.545,237.83,238.12,238.12,238.215,46.7777783066,47.4681269473,43.5022225735,49.506259684,48.2370160128,245.995833333,189.071041667,196.374305556,204.2190625,247.938988095,210.74,194.56,203.3,206.0,243.905,104.107305884,106.703377546,98.2978997358,92.3657529274,103.54371796,0
371,371,01/07/2019,12,280.0,291.24,22400,23032,5245,17990,4410,1508,2011,318.83,315.55,0,7,237.31,231.99,223.82,279.24,315.93,240.6,316.53,376.97,249.3,158.57,417.04,207.065833333,229.33125,234.996388889,240.603854167,249.407202381,227.545,237.33,238.12,238.12,238.215,44.773122267,45.8012762354,43.4980300446,46.9672645768,48.2091721703,253.59625,191.265625,196.887777778,205.2928125,248.289107143,224.0,194.56,203.3,206.0,243.905,106.812271637,109.484533658,99.1515666667,93.772638504,103.881443744,0
372,372,01/07/2019,13,280.0,291.75,22625,23032,5504,17957,4668,1768,2032,318.84,300.89,0,7,237.31,237.31,231.99,278.35,317.61,248.0,322.89,316.92,255.63,225.24,387.71,205.355833333,227.658333333,234.847916667,238.909166667,249.48047619,227.545,237.31,237.735,238.12,238.215,42.6663729638,43.9367926242,43.4712554515,43.9965051164,48.1812001353,258.694583333,193.576458333,196.84125,205.731354167,248.281785714,230.65,194.56,203.3,206.0,243.905,106.792077136,110.962727948,99.093622042,94.1986909689,103.876533784,0
373,373,01/07/2019,14,279.3,291.53,22525,23032,5747,17615,4910,2004,2023,318.84,288.96,0,7,237.0,237.31,237.31,269.94,315.11,240.6,320.0,316.92,248.77,234.53,362.18,203.983333333,226.031041667,234.797916667,237.315416667,249.563571429,227.545,237.155,237.33,238.12,238.215,40.9955853049,42.0342127745,43.4666163931,41.1444368796,48.1473528698,264.31625,198.397708333,197.2725,206.169895833,248.263452381,231.3,196.56,203.3,206.0,243.905,106.128360092,111.194246699,99.5530263227,94.6207711979,103.864071379,0
