,date,hour,rdn,rds
0,2019-06-29,1,220.54,226.53
1,2019-06-29,2,203.85,191.84
2,2019-06-29,3,203.85,201.12
3,2019-06-29,4,203.85,211.05
4,2019-06-29,5,203.85,222.5
5,2019-06-29,6,203.85,218.08
6,2019-06-29,7,220.54,226.82
7,2019-06-29,8,232.11,234.32
8,2019-06-29,9,262.91,274.56
9,2019-06-29,10,280.0,281.62
10,2019-06-29,11,279.24,280.81
11,2019-06-29,12,279.24,280.66
12,2019-06-29,13,278.35,279.61
13,2019-06-29,14,269.94,278.64
14,2019-06-29,15,240.0,254.55
15,2019-06-29,16,239.31,240.14
16,2019-06-29,17,239.31,249.78
17,2019-06-29,18,237.35,248.08
18,2019-06-29,19,226.09,246.64
19,2019-06-29,20,236.23,255.01
20,2019-06-29,21,239.31,254.98
21,2019-06-29,22,239.31,254.61
22,2019-06-29,23,229.0,228.63
23,2019-06-29,24,201.12,224.31
24,2019-06-30,1,157.59,139.74
25,2019-06-30,2,150.0,138.07
26,2019-06-30,3,150.0,138.19
27,2019-06-30,4,144.99,138.19
28,2019-06-30,5,138.79,165.73
29,2019-06-30,6,138.22,165.79
30,2019-06-30,7,140.13,139.88
31,2019-06-30,8,182.5,191.82
32,2019-06-30,9,198.92,187.16
33,2019-06-30,10,223.82,216.92
34,2019-06-30,11,231.99,216.93
35,2019-06-30,12,237.31,216.96
36,2019-06-30,13,237.31,216.96
37,2019-06-30,14,237.0,226.3
38,2019-06-30,15,223.82,216.92
39,2019-06-30,16,205.0,210.9
40,2019-06-30,17,200.0,192.09
41,2019-06-30,18,200.0,191.95
42,2019-06-30,19,206.0,215.91
43,2019-06-30,20,218.18,228.16
44,2019-06-30,21,215.0,225.24
45,2019-06-30,22,226.74,216.96
46,2019-06-30,23,229.66,216.93
47,2019-06-30,24,198.97,188.13
48,2019-07-01,1,193.95,194.79
49,2019-07-01,2,188.0,190.75
50,2019-07-01,3,180.0,188.6
51,2019-07-01,4,179.93,188.53
52,2019-07-01,5,176.93,186.63
53,2019-07-01,6,193.92,208.12
54,2019-07-01,7,264.12,281.25
55,2019-07-01,8,250.0,235.16
56,2019-07-01,9,270.0,242.32
57,2019-07-01,10,279.0,256.27
58,2019-07-01,11,279.0,256.45
59,2019-07-01,12,280.0,291.24
60,2019-07-01,13,280.0,291.75
61,2019-07-01,14,279.3,291.53
62,2019-07-01,15,250.0,268.13
63,2019-07-01,16,243.99,247.03
64,2019-07-01,17,241.7,257.79
65,2019-07-01,18,240.21,246.25
66,2019-07-01,19,239.89,245.93
67,2019-07-01,20,240.72,241.42
68,2019-07-01,21,240.32,241.26
69,2019-07-01,22,239.49,237.59
70,2019-07-01,23,289.57,261.17
71,2019-07-01,24,227.0,214.93
72,2019-07-02,1,230.99,230.87
73,2019-07-02,2,230.99,236.28
74,2019-07-02,3,224.0,227.12
75,2019-07-02,4,222.0,230.49
76,2019-07-02,5,211.02,226.41
77,2019-07-02,6,223.82,226.61
78,2019-07-02,7,259.1,249.63
79,2019-07-02,8,223.67,217.53
80,2019-07-02,9,237.6,238.13
81,2019-07-02,10,237.6,231.49
82,2019-07-02,11,237.6,236.11
83,2019-07-02,12,237.6,235.43
84,2019-07-02,13,250.0,255.59
85,2019-07-02,14,248.0,246.69
86,2019-07-02,15,230.0,234.49
87,2019-07-02,16,230.0,227.48
88,2019-07-02,17,221.99,234.84
89,2019-07-02,18,220.1,225.58
90,2019-07-02,19,218.1,218.55
91,2019-07-02,20,218.11,216.19
92,2019-07-02,21,218.11,215.46
93,2019-07-02,22,207.09,207.11
94,2019-07-02,23,255.0,254.62
95,2019-07-02,24,215.0,225.58
96,2019-07-03,1,240.56,245.62
97,2019-07-03,2,237.0,241.44
98,2019-07-03,3,226.0,226.47
99,2019-07-03,4,224.89,224.78
100,2019-07-03,5,219.03,220.49
101,2019-07-03,6,225.01,242.97
102,2019-07-03,7,254.89,252.64
103,2019-07-03,8,228.0,219.76
104,2019-07-03,9,225.06,224.47
105,2019-07-03,10,237.1,227.85
106,2019-07-03,11,235.0,228.08
107,2019-07-03,12,242.2,228.71
108,2019-07-03,13,252.0,230.02
109,2019-07-03,14,251.34,228.44
110,2019-07-03,15,242.35,222.89
111,2019-07-03,16,231.0,223.76
112,2019-07-03,17,222.0,217.71
113,2019-07-03,18,220.57,216.75
114,2019-07-03,19,218.23,218.29
115,2019-07-03,20,221.5,222.65
116,2019-07-03,21,225.0,225.54
117,2019-07-03,22,220.0,219.05
118,2019-07-03,23,263.0,259.74
119,2019-07-03,24,241.0,245.62
120,2019-07-04,1,236.0,230.5
121,2019-07-04,2,235.16,230.48
122,2019-07-04,3,230.68,226.33
123,2019-07-04,4,230.0,226.43
124,2019-07-04,5,225.25,226.47
125,2019-07-04,6,225.1,225.53
126,2019-07-04,7,255.44,250.57
127,2019-07-04,8,219.0,241.62
128,2019-07-04,9,240.0,256.54
129,2019-07-04,10,241.99,256.93
130,2019-07-04,11,242.97,258.96
131,2019-07-04,12,242.31,252.85
132,2019-07-04,13,242.97,248.53
133,2019-07-04,14,242.97,241.08
134,2019-07-04,15,235.0,235.08
135,2019-07-04,16,233.6,239.12
136,2019-07-04,17,220.0,216.48
137,2019-07-04,18,218.89,216.47
138,2019-07-04,19,210.95,216.5
139,2019-07-04,20,216.3,233.62
140,2019-07-04,21,215.92,228.48
141,2019-07-04,22,215.85,216.24
142,2019-07-04,23,253.25,244.76
143,2019-07-04,24,229.13,216.48
144,2019-07-05,1,225.41,226.26
145,2019-07-05,2,205.0,206.08
146,2019-07-05,3,200.0,200.33
147,2019-07-05,4,195.0,191.07
148,2019-07-05,5,185.0,181.03
149,2019-07-05,6,195.0,186.08
150,2019-07-05,7,240.0,239.97
151,2019-07-05,8,206.0,206.23
152,2019-07-05,9,217.27,206.21
153,2019-07-05,10,219.0,210.14
154,2019-07-05,11,220.0,210.77
155,2019-07-05,12,217.28,215.46
156,2019-07-05,13,217.28,213.41
157,2019-07-05,14,217.27,210.46
158,2019-07-05,15,210.0,206.42
159,2019-07-05,16,210.0,206.43
160,2019-07-05,17,208.77,206.17
161,2019-07-05,18,208.77,206.33
162,2019-07-05,19,209.87,208.88
163,2019-07-05,20,210.93,209.06
164,2019-07-05,21,212.08,210.52
165,2019-07-05,22,210.45,208.99
166,2019-07-05,23,253.27,247.02
167,2019-07-05,24,230.0,215.79
168,2019-07-06,1,195.71,167.16
169,2019-07-06,2,190.0,161.12
170,2019-07-06,3,195.71,181.76
171,2019-07-06,4,195.71,181.81
172,2019-07-06,5,190.0,191.81
173,2019-07-06,6,175.0,141.1
174,2019-07-06,7,195.71,176.09
175,2019-07-06,8,223.48,226.48
176,2019-07-06,9,241.7,252.91
177,2019-07-06,10,256.04,257.55
178,2019-07-06,11,256.66,258.19
