X1,date,hour,rdn,rds,demand,supply1,supply2,supply3,supply4,wind,reserve,cro,se,weekdays,month,lag_rdn_24,lag_rdn_25,lag_rdn_26,lag_rdn_48,lag_rdn_72,lag_rdn_96,lag_rdn_168,lag_cro_72,lag_se_24,lag_se_48,lag_se_72,ma_rdn_24,ma_rdn_48,ma_rdn_72,ma_rdn_96,ma_rdn_168,med_rdn_24,med_rdn_48,med_rdn_72,med_rdn_96,med_rdn_168,sd_rdn_24,sd_rdn_48,sd_rdn_72,sd_rdn_96,sd_rdn_168,ma_cro_24,ma_cro_48,ma_cro_72,ma_cro_96,ma_cro_168,med_cro_24,med_cro_48,med_cro_72,med_cro_96,med_cro_168,sd_cro_24,sd_cro_48,sd_cro_72,sd_cro_96,sd_cro_168,day,arima_rdn,arima_cro
599,10/07/2019,24,229,215.22,17900,23705,4851,13778,4122,1096,1611,207.1,349.71,2,7,215.42,236.58,215.43,227,137.54,169,241,221,222,240.93,73.74,219.94375,220.755416667,190.035555556,196.739166667,209.357559524,216.765,220,215.43,215.43,218.56,7.78291932068,15.1691025497,47.8370124806,44.8730525786,38.2811774623,212.64,230.747083333,243.197777778,241.713854167,247.491428571,209.22,228.08,241.76,243.33,250,10.678672365,23.9255875633,36.0265720487,49.6267600005,42.8370606556,24,220.76360120105755,196.7442357327784
600,11/07/2019,1,210,212.45,16650,23607,4789,12654,3996,890,1499,209.73,365.63,3,7,220.95,215.42,236.58,218,197.46,122.32,236,203.85,200.66,240.93,201.08,220.066666667,221.244791667,191.405416667,197.002083333,209.240833333,217.765,220.265,215.43,215.43,218.56,7.77417668878,14.7753709662,47.2795343551,44.9408499888,38.2153064361,212.41625,229.142708333,243.235,241.015520833,247.002380952,209.22,222,241.76,243.27,247.905,10.8089117067,23.0600426029,35.9838970636,49.6835313151,42.8636616367,25,225.71765475895128,215.27335669560705
601,11/07/2019,2,215,220.49,15925,23607,4781,11937,3988,883,1433,209.73,363.61,3,7,216.33,220.95,215.42,221.28,197.44,113.53,235.16,209.9,200.54,287.53,201.08,219.860416667,221.638333333,192.833194444,197.276354167,209.117797619,215.93,220.265,215.43,215.48,218.115,7.80618343487,14.3739552195,46.4394257837,44.9779966585,38.1586314456,211.870416667,227.856458333,243.357916667,240.841770833,246.572619048,209.22,218.75,241.76,243.27,244.905,10.5795423913,22.3501299429,35.8526445068,49.7636471839,42.8716038544,25,222.36232787063074,206.61923938382031
602,11/07/2019,3,214.75,217.51,15700,23607,4755,11738,3962,857,1413,209.61,361.28,3,7,216.33,216.33,220.95,215.42,190,100,230.68,210.02,206.74,235.4,201.2,219.898333333,222.186875,194.448888889,197.491145833,209.060238095,216.33,220.265,215.43,215.53,217.74,7.78586102394,13.6237033982,45.1704413994,45.0196537635,38.1403022253,211.90375,226.380625,243.4825,241.147291667,246.334642857,209.22,216.5,241.76,243.27,243.725,10.572086221,21.0783978767,35.7188946231,49.4796864535,42.9633293279,25,219.9898256799114,206.9246729630967
603,11/07/2019,4,207,217.47,15575,23607,4695,11673,3902,815,1402,209.85,358.94,3,7,216.32,216.33,216.33,215.42,190,97.52,230,209.9,206.86,222,201.08,219.935833333,222.735208333,196.098888889,197.705833333,209.00922619,216.33,220.265,215.48,215.67,217.475,7.76549442233,12.8057849277,43.7266314429,45.0601942357,38.1247313763,211.942083333,224.902291667,243.52,242.562916667,246.164404762,209.28,216.5,241.76,243.27,243.725,10.5626878081,19.6136906418,35.6816643252,46.5016731995,43.0511319122,25,215.56114059171364,205.22918967052982
604,11/07/2019,5,215,220.54,15175,23607,4626,11342,3833,746,1366,240,356.49,3,7,205,216.32,216.33,205,180,92,225.25,203.97,200.54,200.66,200.96,219.935833333,223.256041667,197.668333333,197.862083333,208.925714286,216.33,220.265,215.48,215.67,217.47,7.76549442233,11.4693492998,41.9286118654,45.0591992107,38.1180152227,211.984166667,224.030625,243.471805556,243.9271875,246.02672619,209.28,213.4,241.76,243.27,243.725,10.5272986405,19.5944577929,35.7333891017,43.2845766795,43.1493385646,25,211.60653983698506,203.58511426117346
605,11/07/2019,6,215,217.5,15550,23607,4513,11817,3733,618,1400,224,362.98,3,7,210,205,216.32,210,197.46,88.52,225.1,203.85,206.86,200.54,201.2,219.935833333,223.517291667,199.355555556,198.226666667,208.836369048,216.33,220.265,215.48,215.67,217.375,7.76549442233,11.0025833987,39.8681542895,45.0138434769,38.0976749636,211.770416667,223.90125,243.176666667,245.298125,245.865178571,209.28,213.4,241.76,243.27,243.725,10.6423998108,19.7088306836,35.9742130648,39.727618189,43.2566435031,25,211.98064373894013,210.79364863967317
606,11/07/2019,7,241.99,232.68,17825,23705,4363,14220,3605,469,1604,282.31,439.93,3,7,237.31,210,205,236.58,236,94.45,255.44,209.9,224.2,206.74,230.53,219.96625,223.544583333,201.339722222,198.66,208.73172619,216.33,220.265,215.53,215.81,217.375,7.83464425124,11.0357799054,38.0888983853,45.1892542653,37.9944256075,210.414166667,222.588958333,242.099444444,246.718958333,245.435416667,209.28,210.16,240.535,243.27,243.39,8.40059827925,18.4333546247,35.7902728893,35.7596621166,43.2531482064,25,222.29792529777993,222.9920238010999
607,11/07/2019,8,255.1,270.04,19775,23705,4295,16219,3556,353,1780,288.2,374.99,3,7,237.31,237.31,210,215.53,220,104,219,243.07,229.9,206.86,207.91,220.87375,223.905208333,203.19125,198.8040625,208.787142857,218.165,220.53,215.67,215.81,217.375,8.52907549529,11.1991040655,36.4973989016,45.291142891,38.0294709567,211.819583333,222.583541667,242.127222222,246.428125,245.492380952,209.28,210.16,241.225,243.21,243.39,10.7156044197,18.4271673271,35.7902387834,35.6736210463,43.2436359547,25,236.4293631370227,248.99834639987202
608,11/07/2019,9,278.4,299.21,20850,23705,4297,17292,3558,322,1877,319.75,380.51,3,7,243,237.31,237.31,220.53,237,125,240,243.19,274.33,200.54,233.5,221.81,224.030208333,204.830138889,198.817604167,208.893928571,218.165,220.53,215.81,215.81,217.375,9.64940457726,11.3803902804,35.5745092112,45.3042958517,38.1005593816,213.245,222.1075,241.512361111,246.076875,245.503392857,209.4,210.16,241.225,243.2,243.39,12.4555425065,17.5551581194,35.3783719835,35.5360727419,43.242807769,25,246.50951392855566,265.2787755575092
